name;id;results;time;error;timestamps
interactive-discover-1;0;6;60000;true;12069 18671 21546 27328 32501 37001
interactive-discover-1;1;4;796;false;519 523 525 795
interactive-discover-1;2;1;411;false;410
interactive-discover-1;3;14;11680;false;2285 2383 2461 2481 2526 2554 2570 2580 2612 2630 2643 2657 2674 4074
interactive-discover-1;4;8;12749;false;3550 4658 4687 4701 4858 5844 8047 10070
interactive-discover-2;0;66;17334;false;3454 4988 5759 7540 10031 11907 14659 16124 16814 16852 16926 16957 16987 17005 17076 17100 17224 17234 17255 17259 17281 17293 17296 17301 17305 17308 17308 17309 17310 17313 17314 17314 17314 17315 17315 17316 17319 17319 17321 17322 17323 17324 17326 17326 17326 17329 17330 17330 17331 17331 17331 17332 17332 17332 17332 17332 17332 17332 17333 17333 17333 17333 17333 17333 17334 17334
interactive-discover-2;1;46;877;false;852 852 853 854 856 857 858 859 859 861 861 862 864 864 864 865 866 866 867 868 868 869 869 870 870 871 871 871 872 872 873 873 873 873 874 874 874 874 874 874 875 875 875 876 876 876
interactive-discover-2;2;32;414;false;394 400 401 401 402 403 403 404 404 404 405 406 406 406 407 407 408 408 409 409 409 410 410 410 410 410 413 413 413 413 413 413
interactive-discover-2;3;198;17510;false;3188 3521 3568 3608 3645 3710 3731 3794 3828 3884 3898 3955 3970 4033 6177 6291 6381 6430 6456 6556 6653 6717 6717 6784 6851 6970 7021 7055 7150 7230 7310 7371 7409 7509 7538 7622 7705 7758 7785 7867 7894 7953 8005 8053 8083 8123 8551 8589 8630 8721 8776 8871 8902 8949 9013 9054 11730 12171 12262 12344 12520 12627 12738 12853 12892 12966 13024 13213 13213 13393 13454 13633 13710 14147 14244 14352 14389 14450 14642 14671 14983 15044 15107 15415 15433 15498 15591 15824 15855 15892 15921 16000 16093 16120 16147 16186 16227 16255 16317 16357 16384 16399 16430 16508 16547 16559 16586 16608 16652 16658 16676 16686 16691 16695 16706 16717 16723 16723 16732 16739 16743 16744 16752 16760 16762 16786 16846 16877 16880 16894 16910 16950 16954 17026 17047 17052 17066 17099 17174 17178 17203 17217 17219 17237 17281 17287 17290 17294 17298 17303 17304 17307 17311 17315 17322 17324 17326 17329 17329 17332 17334 17334 17338 17338 17340 17341 17341 17342 17342 17342 17342 17342 17342 17343 17345 17345 17345 17345 17345 17345 17345 17348 17349 17349 17349 17351 17351 17351 17351 17356 17356 17356 17373 17373 17378 17509 17509 17509
interactive-discover-2;4;98;60000;true;1298 1732 1747 1757 1757 1770 2792 3919 4106 4106 4123 4138 4152 4166 4166 4181 4206 4219 4219 4234 4244 4263 4268 4282 4294 4328 4328 4344 4359 4380 4425 4443 4443 4454 4470 4482 4493 4493 4496 4501 4527 4527 4531 4539 4551 4551 4553 4558 4560 4560 4564 4566 4566 4566 4567 4571 4572 4572 4572 4572 4572 4573 4573 4573 4573 4573 4573 4574 4574 4574 4574 4574 4574 4574 4574 4574 4575 4575 4575 4575 4575 4575 4575 4576 4576 4576 4576 4576 4576 4576 4576 4576 4576 4576 4576 4576 4576 4576
