name;id;results;time;error;timestamps
interactive-discover-1;0;7;8143;true;817 2650 2660 2670 2679 2683 2683
interactive-discover-1;1;4;8658;false;5657 6241 6244 6248
interactive-discover-1;2;1;3295;true;3192
interactive-discover-1;3;28;13725;false;1635 1678 1726 1733 1745 1752 1797 1806 1832 1837 1866 1866 2625 3213 5584 5634 5740 5811 5821 5861 5878 5908 5918 5950 5958 5987 5994 6011
interactive-discover-1;4;14;13686;false;2039 2691 2747 2763 2782 2913 5750 6347 6431 6452 6466 6480 7977 9728
interactive-discover-2;0;68;16390;false;855 856 2820 5685 5756 6493 7096 7457 7567 7592 7615 7635 7651 7655 7676 7697 7721 7745 7779 7813 7826 7889 7905 7933 7972 7983 8027 8056 8066 8099 8172 8196 8203 8216 8326 8384 8578 8596 8596 8619 8620 8651 8652 8681 8681 8698 8708 8723 8776 8787 8797 8811 8811 8826 8838 8851 8860 8861 8872 8890 8901 8916 9920 9920 9932 9945 9952 9952
interactive-discover-2;1;46;8046;false;3960 3966 3972 3976 4415 4415 4416 4440 4452 4452 4453 4454 4455 4456 4456 4457 4458 4459 4460 4460 4461 4462 4462 4463 4463 4463 4464 4465 4465 4466 4466 4467 4468 4468 4469 4469 4470 4470 4470 4470 4470 4470 4471 4471 4471 4471
interactive-discover-2;2;32;3836;false;1244 1438 1439 1439 1440 1440 1441 1441 1444 1444 1449 1449 1449 1449 1449 1449 1449 1449 1449 1450 1450 1450 1450 1450 1450 1450 1450 1450 1450 1450 1450 1450
interactive-discover-2;3;222;16402;false;3347 4685 4705 4744 4781 4797 4810 4841 4878 4893 4904 4931 4946 4970 3494 3524 3580 3639 3698 3718 3748 3797 3848 3877 5089 5160 5191 5234 5285 5286 5345 5398 5426 5426 6508 6552 6598 6624 6673 6703 6746 6769 6806 6844 6875 6899 6986 7026 7061 7061 7114 7202 7212 7232 7256 7285 7318 7336 7344 7358 7374 7388 7395 7407 7419 7419 7439 7459 7466 7466 7474 7516 7657 7657 7804 7858 7917 8018 8067 8226 8988 9018 9064 9116 9189 9230 9257 9291 9329 9388 10230 10252 10309 10365 10418 10583 10909 11017 11047 11109 11109 11183 11201 11293 11293 11348 11363 12060 12060 12103 12144 12172 12172 12194 12506 12540 12593 12642 12667 12681 12702 12750 12769 12774 12783 12796 12807 12813 12813 12819 12823 12827 12827 12835 12836 12839 12839 12841 12843 12846 12848 12851 12852 12855 12860 12862 12863 12864 12867 12868 12868 12873 12874 12876 12877 12878 12879 12880 12880 12883 12883 12886 12887 12888 12891 12892 12893 12893 12894 12895 12895 12896 12897 12899 12902 12902 12903 12904 12904 12904 12904 12904 12904 12904 12904 12904 12904 12904 12904 12904 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12905 12906 12906 12906 12906 12906 12906 12906 12906 12906 12906 12906 12906
interactive-discover-2;4;104;16983;false;3186 3688 3717 3745 3756 3773 6483 7470 7500 7520 7550 7586 9589 12286 12324 12347 12382 12382 12425 12454 12475 12475 12518 12543 12559 12582 12582 12618 12634 12647 12671 12671 12700 12720 12735 12735 12763 12783 12813 12890 12890 12930 12968 13023 13100 13100 13120 13150 13173 13173 13194 13197 13202 13202 13219 13222 13224 13224 13230 13276 13400 13401 13453 13482 13526 13526 13642 13655 13671 13671 13682 13716 13790 13790 13808 13823 13854 13854 13923 13933 13933 13942 13945 13955 13957 13957 13962 13964 13964 13970 13970 13970 13970 13970 13970 13970 13970 13970 13970 13970 13970 13970 13970 13970
interactive-discover-3;0;71;2;false;2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3;1;0;0;true;
interactive-discover-3;2;55;1;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
interactive-discover-3;3;203;6;false;2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
interactive-discover-3;4;142;7;false;5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
interactive-discover-4;0;5;0;false;0 0 0 0 0
interactive-discover-4;1;3;0;false;0 0 0
interactive-discover-4;2;3;0;false;0 0 0
interactive-discover-4;3;3;0;false;0 0 0
interactive-discover-4;4;7;0;false;0 0 0 0 0 0 0
interactive-discover-5;0;15;4097;false;608 1177 1345 1398 1589 1608 1854 2074 2422 2667 3199 3593 4084 4089 4089
interactive-discover-5;1;3;287;false;116 221 222
interactive-discover-5;2;3;400;false;115 127 138
interactive-discover-5;3;4;5291;false;573 633 2506 4126
interactive-discover-5;4;20;3921;false;852 915 1058 1075 1378 1789 1985 2352 3032 3033 3034 3514 3753 3760 3761 3761 3899 3899 3920 3921
interactive-discover-6;0;0;60943;true;
interactive-discover-6;1;1;615;false;614
interactive-discover-6;2;1;456;false;455
interactive-discover-6;3;0;60089;true;
interactive-discover-6;4;27;18169;false;2770 2953 3182 3233 3237 3237 3238 13536 13541 18141 18141 18143 18144 18144 18146 18148 18148 18151 18152 18152 18153 18154 18154 18155 18155 18155 18156
interactive-discover-7;0;1;61260;true;19782
interactive-discover-7;1;1;472;false;471
interactive-discover-7;2;1;326;false;321
interactive-discover-7;3;1;61929;true;6705
interactive-discover-7;4;1;12301;false;3843
interactive-discover-8;0;10;33605;false;25934 26063 27083 27244 28695 29556 30554 31104 32221 32861
interactive-discover-8;1;10;34276;false;20293 26981 28023 28195 29357 30052 31118 31541 32175 33434
interactive-discover-8;2;10;16549;false;4954 5179 5332 5332 5439 6641 14083 14133 15892 16128
interactive-discover-8;3;8;60029;true;43068 43152 27605 27992 29681 29681 33231 33231
interactive-discover-8;4;10;53109;true;27149 27150 28382 28382 30024 30024 31926 31926 12587 12587
interactive-short-1;0;1;5256;false;385
interactive-short-1;1;1;2921;false;837
interactive-short-1;2;1;11380;false;537
interactive-short-1;3;1;6045;false;445
interactive-short-1;4;1;4307;false;1211
interactive-short-2;0;0;31366;true;
interactive-short-2;1;1;61318;true;908
