name;id;results;time;error;timestamps
interactive-discover-7-0;0;1;60000;true;8707
interactive-discover-7-1;0;1;458;false;457
interactive-discover-7-2;0;1;323;false;323
interactive-discover-7-3;0;1;60000;true;3353
interactive-discover-7-4;0;1;18700;false;3279
interactive-discover-8-0;0;9;60000;true;4476 6317 6317 6677 6677 26608 26608 28910 43908
interactive-discover-8-1;0;10;29084;false;20843 20843 23137 23137 23942 23942 25931 26225 27676 28532
interactive-discover-8-2;0;10;15130;false;4845 6399 9894 10096 10946 11057 11683 12376 13465 14430
interactive-discover-8-3;0;10;9413;false;6392 6392 8272 8272 8511 8511 8863 8863 9220 9220
interactive-discover-8-4;0;10;60000;true;3790 5358 5358 5870 6391 6391 6719 6719 7725 8092
