name;id;results;time;error;timestamps
interactive-discover-7-0;0;1;60000;true;7944
interactive-discover-7-1;0;1;445;false;442
interactive-discover-7-2;0;1;293;false;292
interactive-discover-7-3;0;1;60000;true;6488
interactive-discover-7-4;0;1;18596;false;3185
interactive-discover-8-0;0;10;8355;false;6248 6248 6357 6704 6815 6815 7485 7485 7590 8109
interactive-discover-8-1;0;10;11468;false;8761 8761 8761 9809 10203 10203 10619 10886 11252 11252
interactive-discover-8-2;0;10;12945;false;9177 9177 9177 10085 10085 10085 11307 11307 11307 12183
interactive-discover-8-3;0;10;18704;false;15646 15646 15646 15646 16513 16513 16513 18094 18094 18094
interactive-discover-8-4;0;10;19160;false;15096 15096 15096 15096 16518 16518 16518 18088 18088 18088
