name;id;results;time;error;timestamps
interactive-discover-1;0;6;13767;false;6079 6138 6206 6315 6374 6458
interactive-discover-1;1;4;609;false;166 176 202 212
interactive-discover-1;2;1;6171;false;2979
interactive-discover-1;3;14;17123;false;625 829 834 845 876 876 928 938 942 942 951 966 966 982
interactive-discover-1;4;8;6043;false;1126 1275 1276 1277 1277 1278 1281 1281
interactive-discover-2;0;66;60000;true;642 642 1331 1348 1393 1414 1434 1449 1482 1503 1538 1545 1572 1597 1613 1614 1621 1629 1634 1634 1636 1638 1639 1639 1640 1640 1641 1641 1641 1649 1649 1649 1660 1660 1661 1661 1662 2059 2597 2598 2598 2599 2599 2599 2599 2599 2599 2599 2599 2599 2599 2600 2600 2600 2600 2600 2600 2600 2600 2600 2600 2600 2600 2600 2600 2600
interactive-discover-2;1;46;6444;false;2082 2190 2252 2258 2466 2833 3888 4034 4088 4144 4242 4297 4319 4361 4419 4474 4514 4544 4618 4696 4761 4830 4865 4930 5022 5122 5150 5166 5166 5183 5264 5339 5437 5471 5522 5583 5655 5706 5751 5790 5826 5848 5890 5932 6007 6032
interactive-discover-2;2;32;60000;true;221 244 247 251 269 273 273 276 279 284 284 287 289 290 291 292 292 293 293 294 294 294 295 295 296 296 300 306 308 308 310 310
interactive-discover-2;3;198;19239;false;1002 1006 1008 1054 1057 1123 1164 1164 1224 1224 1272 1272 1313 1314 4920 5144 5270 5331 5502 5587 5668 5729 5826 5899 6043 6043 6155 6245 6354 6396 6473 6551 6624 6651 6709 6743 6830 6866 6899 6934 7008 7044 7113 7149 7223 7234 7365 7570 8541 8553 8669 8717 8835 8885 8910 8941 9026 10227 10303 10334 10421 10434 10513 10540 10584 10594 10678 10694 10730 10733 10783 10797 10821 10822 10853 10866 10934 10944 10980 10999 11026 11075 11109 11184 11209 11581 11727 11750 11779 11809 11862 11882 11974 12094 12106 12146 12165 12955 12995 13001 13045 13108 13153 13157 13177 14991 15005 15057 15096 15136 15177 15194 15216 15262 15351 15374 15399 16422 16486 16597 16624 16670 16710 16754 16769 16868 16891 16912 16944 16960 16987 16999 17027 17035 17035 17041 17047 17052 17052 17054 17056 17056 17058 17058 17059 17059 17059 17059 17059 17059 17061 17061 17061 17070 17078 17078 17078 17078 17078 17078 17078 17083 17083 17085 17086 18144 18144 18166 18197 18226 18293 18404 18436 18808 18829 19236 19236 19237 19237 19237 19237 19238 19238 19238 19238 19238 19238 19238 19238 19238 19238 19238 19238 19238 19238 19238 19238 19239
interactive-discover-2;4;98;17522;false;4055 4212 4342 4423 4597 4693 4822 4944 5161 5211 5223 5283 5360 5431 5504 5711 5828 6048 6147 6374 6462 6609 6772 6833 6936 7086 7167 7192 7235 7295 7531 7541 7699 7699 7916 8713 8816 8821 8886 8904 9286 9295 9423 9446 9716 9723 9869 9871 10093 10094 10929 10931 12293 12293 12335 12335 12473 12473 12712 12712 12999 13000 13244 13244 13378 13378 13542 13542 13961 13961 14048 14048 14114 14114 14550 14553 14815 14815 14991 14991 15302 15302 15468 15468 15585 15585 15776 15777 16956 16956 17131 17131 17240 17298 17358 17358 17421 17422
