name;id;results;time;error;timestamps
interactive-discover-1;0;6;14950;false;7467 7552 7600 7726 7790 7855
interactive-discover-1;1;4;452;true;122 122 125 125
interactive-discover-1;2;1;2487;false;1195
interactive-discover-1;3;14;15429;false;697 795 813 833 834 843 857 857 871 993 1046 1047 1070 1084
interactive-discover-1;4;8;4993;false;973 1878 1899 1912 1927 1929 1950 1974
interactive-discover-2;0;66;5011;false;1013 1691 2468 2744 2779 2881 2941 2965 2992 3036 3069 3117 3134 3157 3173 3196 3203 3211 3214 3217 3218 3222 3222 3224 3224 3224 3224 3224 3225 3243 3243 3250 3251 3251 3251 3254 3254 3255 3256 4683 5006 5007 5008 5008 5008 5008 5008 5008 5008 5008 5008 5009 5009 5009 5009 5009 5009 5009 5009 5009 5009 5009 5009 5009 5009 5011
interactive-discover-2;1;46;6923;false;3738 3853 3924 4008 4094 4188 4244 4439 4472 4507 4526 4562 4602 4628 4659 4732 4831 4899 4960 5045 5172 5172 5243 5276 5310 5337 5364 5399 5446 5500 5513 5525 5550 5606 5701 5801 5848 5878 5927 5948 6029 6119 6208 6209 6294 6327
interactive-discover-2;2;32;4371;true;88 195 199 205 206 209 212 213 213 214 214 215 216 216 217 217 218 219 219 219 223 223 228 229 229 230 230 230 230 231 231 232
interactive-discover-2;3;198;15609;false;650 661 692 874 975 1018 1039 1048 1075 1185 1212 1217 1305 1315 2686 2727 2859 2900 3114 3165 3240 3290 3424 3443 3519 3542 3690 3708 3848 3894 3980 4008 4080 4103 4165 4184 4229 4269 4321 4355 4396 4472 4703 4703 4854 4911 5065 5211 5276 5313 5393 5428 5560 6082 6329 6393 6458 6499 6573 6609 6669 6698 6748 6768 6823 6847 6886 6895 6928 6948 6985 6990 7020 7050 7066 7092 7115 7117 7150 7170 7191 7217 7274 7293 7306 7307 9049 9113 9169 9199 9294 9317 9326 9358 9391 10725 10756 10805 10845 10914 10953 10971 10997 11043 11084 11101 11116 11148 11187 11201 11244 11266 11292 11333 11337 11355 11377 11411 11448 11462 11462 11480 11519 11546 11627 11636 11662 11680 11690 11697 11702 11713 11716 11761 11791 11922 12107 12120 12172 12201 12275 12293 12472 12626 13647 13683 13764 13765 14018 14115 14140 14367 14400 14424 14466 14506 14578 14602 14793 15300 15319 15319 15341 15372 15382 15383 15387 15402 15434 15435 15445 15446 15452 15452 15469 15469 15469 15470 15473 15473 15474 15474 15475 15475 15475 15483 15503 15503 15510 15514 15514 15516 15609 15609 15609 15609 15609 15609
interactive-discover-2;4;98;13665;false;3624 3729 3857 3958 4068 4138 4244 4360 4379 4485 4624 4774 4825 4915 4985 5095 5256 5327 5417 5558 5688 5767 5769 5813 5865 5985 6043 6289 6412 6516 6609 6722 6920 7043 7097 7177 7387 8463 9386 9406 9440 9549 9632 9847 9956 9994 10039 10119 10154 10187 10197 10257 10295 10483 10544 10616 10925 11004 11004 11063 11130 11350 11381 11530 11613 11659 11678 11824 12582 12634 12634 12760 12852 12898 12913 12952 12971 12995 13004 13021 13030 13093 13093 13177 13237 13245 13263 13304 13404 13412 13412 13528 13558 13562 13566 13627 13636 13642
interactive-discover-3;0;71;4;true;3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
interactive-discover-3;1;0;0;true;
